date,equity
2021-11-02,1078302.6731211247
2021-11-03,1078302.6731211247
2021-11-04,1078302.6731211247
2021-11-05,1078302.6731211247
2021-11-08,1078302.6731211247
2021-11-09,1078302.6731211247
2021-11-10,1078302.6731211247
2021-11-11,1078302.6731211247
2021-11-12,1078302.6731211247
2021-11-15,1078302.6731211247
2021-11-16,1078302.6731211247
2021-11-17,1078302.6731211247
2021-11-18,1078302.6731211247
2021-11-19,1078302.6731211247
2021-11-22,1078302.6731211247
2021-11-23,1078302.6731211247
2021-11-24,1078302.6731211247
2021-11-26,1078302.6731211247
2021-11-29,1078302.6731211247
2021-11-30,1078302.6731211247
2021-12-01,1078302.6731211247
2021-12-02,1078302.6731211247
2021-12-03,1078302.6731211247
2021-12-06,1078302.6731211247
2021-12-07,1078302.6731211247
2021-12-08,1078302.6731211247
2021-12-09,1078302.6731211247
2021-12-10,1078302.6731211247
2021-12-13,1078302.6731211247
2021-12-14,1078302.6731211247
2021-12-15,1078302.6731211247
2021-12-16,1078302.6731211247
2021-12-17,1078302.6731211247
2021-12-20,1078302.6731211247
2021-12-21,1078302.6731211247
2021-12-22,1078302.6731211247
2021-12-23,1078302.6731211247
2021-12-27,1078302.6731211247
2021-12-28,1078302.6731211247
2021-12-29,1078302.6731211247
2021-12-30,1078302.6731211247
2021-12-31,1078302.6731211247
2022-01-03,1078302.6731211247
2022-01-04,1078302.6731211247
2022-01-05,1078302.6731211247
2022-01-06,1078302.6731211247
2022-01-07,1078302.6731211247
2022-01-10,1078302.6731211247
2022-01-11,1078302.6731211247
2022-01-12,1078302.6731211247
2022-01-13,1078302.6731211247
2022-01-14,1078302.6731211247
2022-01-18,1078302.6731211247
2022-01-19,1078302.6731211247
2022-01-20,1078302.6731211247
2022-01-21,1078302.6731211247
2022-01-24,1078302.6731211247
2022-01-25,1078302.6731211247
2022-01-26,1078302.6731211247
2022-01-27,1078302.6731211247
2022-01-28,1078302.6731211247
2022-01-31,1078302.6731211247
2022-02-01,1078302.6731211247
2022-02-02,1078302.6731211247
2022-02-03,1078302.6731211247
2022-02-04,1078302.6731211247
2022-02-07,1078302.6731211247
2022-02-08,1078302.6731211247
2022-02-09,1078302.6731211247
2022-02-10,1078302.6731211247
2022-02-11,1078302.6731211247
2022-02-14,1078302.6731211247
2022-02-15,1078302.6731211247
2022-02-16,1078302.6731211247
2022-02-17,1078302.6731211247
2022-02-18,1078302.6731211247
2022-02-22,1078302.6731211247
2022-02-23,1078302.6731211247
2022-02-24,1078302.6731211247
2022-02-25,1078302.6731211247
2022-02-28,1078302.6731211247
2022-03-01,1078302.6731211247
2022-03-02,1078302.6731211247
2022-03-03,1078302.6731211247
2022-03-04,1078302.6731211247
2022-03-07,1078302.6731211247
2022-03-08,1078302.6731211247
2022-03-09,1078302.6731211247
2022-03-10,1078302.6731211247
2022-03-11,1078302.6731211247
2022-03-14,1078302.6731211247
2022-03-15,1078302.6731211247
